Construct,Plant,Meas_1_VPercent,Meas_2_VPercent,Meas_3_VPercent,Meas_4_VPercent,Meas_5_VPercent,Average_VPercent,Stdev_VPercent
C12,P1,65.71,91.68,89.44,,,82.27666667,14.39080378
C12,P2,31.28,,,,,31.28,0
C12,P3,76.83,35.86,,,,56.345,28.97016483
C12,P4,52.32,46.46,,,,49.39,4.143645738
C12,P5,56.82,64.77,47.05,,,56.21333333,8.875563832
C12,P6,48.78,38.7,60.66,,,49.38,10.99228821
C12,P7,76.11,34.23,68.05,,,59.46333333,22.22120009
C13,P1,17.24,20.16,16.79,,,18.06333333,1.829653883
C13,P2,61.55,46.7,62.52,,,56.92333333,8.866940472
C14,P1,93.86,91.83,93.44,,,93.04333333,1.0715565
C14,P2,67.69,61.87,61.59,,,63.71666667,3.44385443
C14,P3,47.78,63.47,37.4,,,49.55,13.12482
C14,P4,89.17,92.33,93.34,91.78,,91.655,1.77817322
C15,P1,82.1,63.83,81.96,,,75.96333333,10.50800806
C15,P2,90.4,89.33,61.28,,,80.33666667,16.51222678
C16,P1,42.09,91.19,93.46,,,75.58,29.02539061
C17,P1,55.66,52,47.02,,,51.56,4.336772994
C17,P2,23.37,,,,,23.37,0
C2,P11,14.66,26.95,6.65,,,16.08666667,10.22492217
C2,P13,9.41,44.8,13.44,,,22.55,19.37413482
C2,P2,19.38,10.45,40.66,,,23.49666667,15.52002685
C2,P3,26.46,2.22,1.74,,,10.14,14.13557215
C2,P5,2.7,1.77,2.74,,,2.403333333,0.548847277
C2,P6,8.08,6.46,6.19,,,6.91,1.022203502
C2,P7,3.98,20.37,11.45,,,11.93333333,8.20568299
C2,P8,3.14,2.97,3.07,,,3.06,0.085440037
C2,P9,6.29,2.63,1.25,,,3.39,2.604534507
C22,P1,47.81,45.78,54.42,,,49.33666667,4.517790758
C25,P1,37.8,48.69,60.63,,,49.04,11.4190236
C3,P1,65.08,71.65,92.53,,,76.42,14.33318876
C3,P3,80.18,89.85,89.08,,,86.37,5.374504628
C3,P4,20.55,43.77,51.95,,,38.75666667,16.28926436
C3,P5,86.24,85.18,93.04,,,88.15333333,4.265036147
C3,P6,58.72,64.29,,,,61.505,3.938584771
C31,P1,59.87,69.61,69.19,,,66.22333333,5.506154133
C4,P2,61.59,,,,,61.59,0
C4,P3,51.66,67.45,66.98,,,62.03,8.983757566
C4,P4,95.39,44.15,40.07,,,59.87,30.82879174
C4,P5,29.78,47.83,72.08,,,49.89666667,21.22559383
C4,P6,65.31,73.57,,,,69.44,5.840702013
C42,P1,91.61,71.79,76.38,,,79.92666667,10.37507751
C6,P1,89.74,92.37,90.8,,,90.97,1.32321578
C6,P2,90.03,79.3,88.09,83.98,,85.35,4.757078936
C6,P3,59.62,64.39,53.62,,,59.21,5.396693432
C6,P5,37.93,88.88,,,,63.405,36.0270905
C6,P6,90.34,93.41,92.06,,,91.93666667,1.538711582
C7,P2,67.29,58.42,,,,62.855,6.272037149
C7,P3,66.93,69.31,57.42,,,64.55333333,6.291218748
