"CP","n","W","p.value"
"C19P1",5,0.8893948988478,0.354069644302103
"C1P5",5,0.777335870313313,0.0522826788038265
"C20P1",5,0.920246676376584,0.5315323076933
"C20P2",5,0.974330758398784,0.902250807884068
"C21P1",5,0.906204549734209,0.445121491593805
"C21P2",1,NA,NA
"C22P2",3,0.870967741935487,0.29827585215424
"C22P3",5,0.996202512044348,0.996268849275057
"C23P1",5,0.845385210188743,0.180366763663505
"C25P1",5,0.921508817471009,0.539719778104864
"C25P2",3,0.861749755949773,0.272402793744457
"C26P1",3,0.849218719088556,0.238362891595947
"C26P2",3,0.961399851409942,0.622314557899316
"C26P3",3,0.998909088163796,0.936907868616518
"C27P1",5,0.845155169491654,0.179683776752032
"C27P2",5,0.928601200205246,0.58686312291707
"C28P1",3,0.970945245529202,0.672858375230528
"C29P2",3,0.851534898998604,0.244563602499444
"C2P1",3,0.903351211102793,0.396249817738502
"C31P2",5,0.869263672202987,0.263455004113592
"C32P1",3,0.848830196408658,0.237326617981817
"C32P2",5,0.641964541349485,0.00213549654041368
"C33P1",5,0.984568822805473,0.957475102552188
"C34P1",5,0.90524984399943,0.439577819346198
"C35P1",1,NA,NA
"C35P2",5,0.719989200861286,0.0153216032654502
"C36P1",3,0.764631479471971,0.0325944908240222
"C38P1",5,0.909232960283295,0.462994673910336
"C39P1",3,0.890127693745273,0.3547327398312
"C39P2",5,0.832825005071654,0.146044991103553
"C39P3",5,0.848393105205015,0.189492530476696
"C3P1",3,0.967079682789668,0.651545937879857
"C40P2",1,NA,NA
"C40P3",5,0.841671942342319,0.169596684771511
"C40P4",5,0.949575005612221,0.734151726920148
"C42P1",3,0.999965778639229,0.988827445235574
"C42P2",5,0.789329511865147,0.066140695593064
"C43P1",4,0.872172445168776,0.306281451111806
"C43P2",3,0.946156845428749,0.552757328447474
"C44P1",5,0.904655536727511,0.436149070777644
"C44P2",3,0.973176940175435,0.685792579725251
"C50P1",5,0.828361628721503,0.13523148508334
"C51P1",5,0.921199639642057,0.537708200235239
"C52P1",5,0.896304073212828,0.38979659612158
"C53P1",5,0.7635818200581,0.0395680312075668
"C55P1",5,0.857236268000783,0.21849443739557
"C55P2",5,0.939202893366519,0.660308220616743
"C57P1",5,0.826392139253239,0.130676594602438
"C57P2",3,0.77007448637145,0.0448963440232737
"C58P1",4,0.875171260075355,0.318422412684033
"C58P2",5,0.901653685890735,0.419092905129103
"C61P1",5,0.885685870260041,0.33587501482639
"C61P2",5,0.949105516992354,0.730796483483532
"C61P3",5,0.900080230153016,0.410329115561182
"C62P1",4,0.964153526448057,0.805012837393814
"C63P1",5,0.831119711287679,0.141831831254732
"C64P1",3,0.797018656294187,0.10740057806313
"C65P1",3,0.788367599939898,0.0870206681027327
"C65P2",3,0.991677619141926,0.825526524729072
"C65P3",3,0.884389597203002,0.3374064632526
"C66P1",3,0.790401237590047,0.0917834046901835
"C67P1",3,0.885561160151324,0.340912991323291
"C67P2",5,0.828514599961555,0.135590735892336
"C67P3",3,0.887183422870299,0.345794397377331
"C68P1",3,0.959525701179751,0.613129917762686
"C68P2",3,0.969223951152255,0.663208573886355
"C68P3",3,0.946006749156357,0.552122714893579
"C69P1",3,0.768148902058977,0.0405328027778391
"C6P2",5,0.855019148661828,0.210911026468156
"C6P3",3,0.861073954114031,0.270535027240501
"C6P4",3,0.982795393146596,0.748766819517635
"C70P1",3,0.977436823104697,0.712029260835263
"C70P2",3,0.981454005934718,0.739097606791354
"C70P3",3,0.956674244781955,0.599537812756836
"C70P4",2,NA,NA
"C72P1",3,0.926278856504924,0.474849329539401
"C73P1",3,0.786036501760892,0.0815818244598384
"C73P2",3,0.989940139674094,0.808120662201055
"C74P1",3,0.960523852681129,0.617995551558102
"C74P2",2,NA,NA
"C74P3",3,0.810320894716946,0.139383608316467
"C75P1",3,0.944282554506196,0.544891488101905
"C75P2",3,0.873635746647835,0.30590959620717
"C76P1",3,0.952791480337468,0.581698547602793
"C76P2",3,0.986027995761369,0.773719421271447
"C77P1",3,0.984247088966192,0.759658556402628
"C77P2",3,0.775393525393525,0.0570170785021665
"C77P3",1,NA,NA
"C78P1",3,0.755596700892107,0.0123892395932745
"C78P2",3,0.825869194776829,0.177879959669736
"C78P3",5,0.943828955655439,0.693120055565252
"C79P1",3,0.80098677433975,0.116856230053372
"C79P2",3,0.989908625951659,0.807819337746273
"C81P1",3,0.825287247895969,0.176415506818206
"C82P1",3,0.844101927848826,0.22480160202183
"C85P1",3,0.942748983502361,0.538547728449615
"C85P2",3,0.774971297359356,0.0560512469428824
"C86P1",3,0.826016146982308,0.178250065894736
"C86P2",3,0.915964191843698,0.438289037046433
