callusplant,n,used_n,p_value
C12P2,19938,5000,1.45E-51
C16P2,6638,5000,2.27E-63
C21P3,5740,5000,6.75E-57
C22P1,2582,2582,2.01E-43
C2P13,2540,2540,2.58E-38
C2P5,3726,3726,1.94E-42
C2P9,3514,3514,6.10E-49
C35P1,6050,5000,1.30E-76
C4P1,8372,5000,5.85E-69
C4P2,18298,5000,3.53E-62
C4P3,15402,5000,2.42E-69
C4P4,14794,5000,2.64E-62
C6P3,8536,5000,1.28E-84
C3P1,23556,5000,3.63E-68
C4P1,11116,5000,2.54E-57
C6P1,25954,5000,1.85E-68
C7P1,19340,5000,2.50E-64
C12P1,2966,2966,1.86E-62
C12P6,12898,5000,2.20E-58
C13P2,1108,1108,6.80E-30
C14P3,4024,4024,1.05E-54
C15P1,2000,2000,1.23E-43
C16P1,5670,5000,5.87E-75
C17P1,6574,5000,7.94E-66
C17P2,1870,1870,2.38E-33
C2P10,2638,2638,1.87E-47
C3P3,4880,4880,6.97E-57
C4P5,3082,3082,1.37E-49
C7P3,5856,5000,1.58E-72
C15P2,18734,5000,6.05E-78
C25P1,9186,5000,3.26E-68
C2P2,6764,5000,4.15E-67
C2P3-1,4430,4430,5.38E-54
C2P3-2,3006,3006,8.64E-45
C2P6,10396,5000,7.74E-60
C3P4,4260,4260,1.13E-74
C3P6,23764,5000,2.38E-82
C6P2,25850,5000,1.18E-77
C7P2,8621,5000,4.99E-69
